,id,sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_desc,time_in_custody_in_days,time_in_jail_in_days,African-American_race,Asian_race,Hispanic_race,Native American_race,Other_race,Felony_c_charge_degree,High_score_text,Low_score_text,High_v_score_text
5355,8193,1,20,0,0,0,0,0.580654516840364,2.0,1.0,1,0,0,0,0,1,0,0,0
3592,5507,1,43,0,0,0,2,0.3782583322229698,0.0,0.0,0,0,0,0,1,0,0,1,0
29,39,1,26,0,0,1,5,0.4968077795161603,8.0,0.0,1,0,0,0,0,1,0,0,0
2414,3692,1,41,0,0,0,8,0.5178204111103699,0.0,1.0,1,0,0,0,0,1,0,1,0
5619,8602,1,24,0,0,0,5,0.4391918395352028,9.0,37.0,0,0,0,0,0,1,0,0,0
1381,2127,1,33,0,0,0,16,0.4391918395352028,1.0,0.0,1,0,0,0,0,0,0,0,0
6497,9944,1,43,0,0,0,0,0.471343537583306,4.0,1.0,0,0,0,0,0,1,0,1,0
5386,8239,1,28,0,0,1,7,0.471343537583306,78.0,1.0,1,0,0,0,0,1,1,0,0
4712,7225,1,32,0,0,1,7,0.471343537583306,4.0,51.0,1,0,0,0,0,1,0,0,0
812,1234,1,52,0,0,0,7,0.5846181494185388,994.0,0.0,1,0,0,0,0,0,0,0,0
850,1293,1,24,0,1,0,5,0.4968077795161603,1.0,1.0,1,0,0,0,0,1,0,0,0
5627,8612,1,24,0,0,1,6,0.4743839107769999,12.0,45.0,1,0,0,0,0,1,1,0,1
6071,9293,1,29,0,0,0,10,0.5178204111103699,1.0,0.0,1,0,0,0,0,1,0,0,0
4133,6330,0,26,0,0,0,2,0.3789268871010585,0.0,0.0,0,0,0,0,0,0,0,0,0
1312,2029,1,43,0,0,0,2,0.4391918395352028,5.0,5.0,1,0,0,0,0,1,0,1,0
5300,8115,1,39,0,0,0,1,0.4248071395230975,0.0,0.0,0,0,0,0,1,0,0,1,0
5486,8394,1,21,0,0,1,0,0.5267769160164757,1.0,0.0,1,0,0,0,0,1,0,1,0
5880,9004,1,23,0,0,0,0,0.4391918395352028,1.0,0.0,1,0,0,0,0,1,0,1,0
2691,4118,1,27,0,0,0,6,0.4391918395352028,3.0,3.0,0,0,0,0,0,1,0,0,0
4326,6624,1,61,0,0,0,2,0.7742632058007154,174.0,3.0,0,0,1,0,0,1,0,1,0
124,190,1,33,0,0,0,19,0.4391918395352028,32.0,0.0,1,0,0,0,0,1,1,0,0
906,1379,1,22,0,0,0,1,0.6003440908766216,58.0,0.0,1,0,0,0,0,1,0,0,0
1902,2897,1,28,0,0,0,1,0.6003440908766216,24.0,30.0,0,0,0,0,0,1,0,0,0
5901,9042,1,69,0,0,0,0,0.5178204111103699,1.0,0.0,0,0,0,0,0,1,0,0,0
2952,4514,1,64,0,0,0,20,0.5178204111103699,2.0,2.0,1,0,0,0,0,1,0,0,0
2941,4502,1,49,0,0,0,1,0.1077017448773867,0.0,0.0,0,0,0,0,0,0,0,1,0
5155,7894,1,20,0,0,0,0,0.3772786287250498,30.0,30.0,1,0,0,0,0,1,1,0,1
5668,8673,1,25,0,0,0,0,0.1077017448773867,1.0,0.0,0,0,0,0,0,0,0,1,0
3815,5846,1,34,0,0,0,3,0.3789268871010585,3.0,5.0,0,0,1,0,0,0,0,1,0
961,1483,1,35,0,0,0,1,0.4391918395352028,9.0,9.0,1,0,0,0,0,0,0,1,0
5857,8964,1,38,0,0,0,17,0.3789268871010585,1.0,1.0,1,0,0,0,0,0,0,1,0
5590,8554,1,30,0,0,0,0,0.6003440908766216,71.0,1.0,1,0,0,0,0,1,0,1,0
2282,3484,1,47,0,0,0,22,0.54244724459776,0.0,1.0,1,0,0,0,0,1,0,0,0
5784,8849,1,23,0,0,0,1,0.4391918395352028,1.0,0.0,1,0,0,0,0,1,0,0,0
3092,4731,1,21,0,0,0,0,0.471343537583306,42.0,42.0,1,0,0,0,0,1,0,0,0
4994,7639,1,32,0,0,0,0,0.31658721647575,1.0,1.0,1,0,0,0,0,1,0,1,0
