epsilon,low_class_thresh,high_class_thresh,accuracy,precision,recall,fairness_metrics_roc,fairness_metrics_roc_abs
0.1,0.45,0.55,0.54,0.49,0.52,-0.16,0.16
0.1,0.4,0.6,0.54,0.49,0.52,-0.16,0.16
0.1,0.35,0.65,0.54,0.49,0.51,-0.16,0.16
0.1,0.3,0.7,0.54,0.49,0.5,-0.16,0.16
0.1,0.25,0.75,0.54,0.49,0.49,-0.17,0.17
0.30000000000000004,0.45,0.55,0.58,0.53,0.58,-0.04,0.04
0.30000000000000004,0.4,0.6,0.58,0.53,0.57,-0.05,0.05
0.30000000000000004,0.35,0.65,0.58,0.53,0.55,-0.06,0.06
0.30000000000000004,0.3,0.7,0.58,0.53,0.54,-0.06,0.06
0.30000000000000004,0.25,0.75,0.58,0.53,0.53,-0.05,0.05
0.5000000000000001,0.45,0.55,0.61,0.56,0.58,-0.04,0.04
0.5000000000000001,0.4,0.6,0.61,0.56,0.57,-0.05,0.05
0.5000000000000001,0.35,0.65,0.61,0.57,0.55,-0.06,0.06
0.5000000000000001,0.3,0.7,0.61,0.57,0.52,-0.04,0.04
0.5000000000000001,0.25,0.75,0.61,0.57,0.5,-0.03,0.03
0.7000000000000001,0.45,0.55,0.62,0.58,0.56,-0.04,0.04
0.7000000000000001,0.4,0.6,0.62,0.59,0.53,-0.02,0.02
0.7000000000000001,0.35,0.65,0.63,0.6,0.51,-0.03,0.03
0.7000000000000001,0.3,0.7,0.62,0.61,0.47,0.0,0.0
0.7000000000000001,0.25,0.75,0.62,0.61,0.43,0.03,0.03
0.9000000000000001,0.45,0.55,0.63,0.6,0.55,-0.02,0.02
0.9000000000000001,0.4,0.6,0.64,0.62,0.51,0.0,0.0
0.9000000000000001,0.35,0.65,0.63,0.62,0.46,0.02,0.02
0.9000000000000001,0.3,0.7,0.63,0.64,0.42,0.05,0.05
0.9000000000000001,0.25,0.75,0.62,0.64,0.37,0.05,0.05
1.1000000000000003,0.45,0.55,0.65,0.63,0.54,0.01,0.01
1.1000000000000003,0.4,0.6,0.64,0.64,0.48,0.02,0.02
1.1000000000000003,0.35,0.65,0.65,0.66,0.44,0.05,0.05
1.1000000000000003,0.3,0.7,0.64,0.67,0.39,0.05,0.05
1.1000000000000003,0.25,0.75,0.63,0.69,0.34,0.04,0.04
1.3000000000000003,0.45,0.55,0.66,0.64,0.53,0.02,0.02
1.3000000000000003,0.4,0.6,0.66,0.66,0.48,0.04,0.04
1.3000000000000003,0.35,0.65,0.66,0.69,0.43,0.05,0.05
1.3000000000000003,0.3,0.7,0.64,0.7,0.37,0.04,0.04
1.3000000000000003,0.25,0.75,0.63,0.7,0.3,0.05,0.05
1.5000000000000004,0.45,0.55,0.66,0.65,0.53,0.05,0.05
1.5000000000000004,0.4,0.6,0.66,0.68,0.48,0.04,0.04
1.5000000000000004,0.35,0.65,0.66,0.72,0.42,0.04,0.04
1.5000000000000004,0.3,0.7,0.65,0.71,0.35,0.05,0.05
1.5000000000000004,0.25,0.75,0.63,0.73,0.3,0.06,0.06
1.7000000000000004,0.45,0.55,0.66,0.65,0.52,0.06,0.06
1.7000000000000004,0.4,0.6,0.67,0.7,0.48,0.04,0.04
1.7000000000000004,0.35,0.65,0.67,0.73,0.41,0.04,0.04
1.7000000000000004,0.3,0.7,0.64,0.72,0.33,0.06,0.06
1.7000000000000004,0.25,0.75,0.63,0.74,0.29,0.06,0.06
1.9000000000000004,0.45,0.55,0.66,0.66,0.52,0.07,0.07
1.9000000000000004,0.4,0.6,0.67,0.7,0.46,0.03,0.03
1.9000000000000004,0.35,0.65,0.66,0.73,0.4,0.06,0.06
1.9000000000000004,0.3,0.7,0.65,0.74,0.33,0.07,0.07
1.9000000000000004,0.25,0.75,0.63,0.74,0.28,0.06,0.06
2.1000000000000005,0.45,0.55,0.67,0.67,0.52,0.07,0.07
2.1000000000000005,0.4,0.6,0.67,0.71,0.45,0.04,0.04
2.1000000000000005,0.35,0.65,0.66,0.74,0.39,0.07,0.07
2.1000000000000005,0.3,0.7,0.64,0.74,0.32,0.07,0.07
2.1000000000000005,0.25,0.75,0.63,0.74,0.27,0.06,0.06
2.3000000000000007,0.45,0.55,0.67,0.68,0.52,0.07,0.07
2.3000000000000007,0.4,0.6,0.67,0.71,0.45,0.06,0.06
2.3000000000000007,0.35,0.65,0.66,0.74,0.38,0.07,0.07
2.3000000000000007,0.3,0.7,0.64,0.74,0.32,0.07,0.07
2.3000000000000007,0.25,0.75,0.63,0.75,0.27,0.05,0.05
2.5000000000000004,0.45,0.55,0.68,0.68,0.53,0.08,0.08
2.5000000000000004,0.4,0.6,0.67,0.72,0.44,0.06,0.06
2.5000000000000004,0.35,0.65,0.66,0.74,0.38,0.06,0.06
2.5000000000000004,0.3,0.7,0.64,0.74,0.31,0.07,0.07
2.5000000000000004,0.25,0.75,0.63,0.76,0.26,0.05,0.05
2.7000000000000006,0.45,0.55,0.68,0.69,0.53,0.08,0.08
2.7000000000000006,0.4,0.6,0.67,0.72,0.44,0.08,0.08
2.7000000000000006,0.35,0.65,0.66,0.74,0.37,0.07,0.07
2.7000000000000006,0.3,0.7,0.64,0.74,0.31,0.08,0.08
2.7000000000000006,0.25,0.75,0.63,0.77,0.26,0.04,0.04
2.900000000000001,0.45,0.55,0.68,0.69,0.53,0.08,0.08
2.900000000000001,0.4,0.6,0.67,0.72,0.43,0.08,0.08
2.900000000000001,0.35,0.65,0.66,0.74,0.37,0.08,0.08
2.900000000000001,0.3,0.7,0.64,0.74,0.31,0.07,0.07
2.900000000000001,0.25,0.75,0.63,0.77,0.25,0.05,0.05
3.1000000000000005,0.45,0.55,0.69,0.7,0.53,0.09,0.09
3.1000000000000005,0.4,0.6,0.67,0.72,0.43,0.08,0.08
3.1000000000000005,0.35,0.65,0.65,0.73,0.36,0.08,0.08
3.1000000000000005,0.3,0.7,0.64,0.74,0.3,0.07,0.07
3.1000000000000005,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.3000000000000007,0.45,0.55,0.69,0.7,0.53,0.09,0.09
3.3000000000000007,0.4,0.6,0.66,0.72,0.42,0.08,0.08
3.3000000000000007,0.35,0.65,0.65,0.73,0.36,0.09,0.09
3.3000000000000007,0.3,0.7,0.64,0.74,0.3,0.07,0.07
3.3000000000000007,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.500000000000001,0.45,0.55,0.69,0.7,0.53,0.09,0.09
3.500000000000001,0.4,0.6,0.67,0.72,0.43,0.08,0.08
3.500000000000001,0.35,0.65,0.65,0.73,0.36,0.09,0.09
3.500000000000001,0.3,0.7,0.64,0.75,0.3,0.07,0.07
3.500000000000001,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.7000000000000006,0.45,0.55,0.69,0.71,0.53,0.09,0.09
3.7000000000000006,0.4,0.6,0.67,0.72,0.43,0.09,0.09
3.7000000000000006,0.35,0.65,0.65,0.73,0.36,0.09,0.09
3.7000000000000006,0.3,0.7,0.64,0.75,0.3,0.07,0.07
3.7000000000000006,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.900000000000001,0.45,0.55,0.69,0.71,0.53,0.09,0.09
3.900000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
3.900000000000001,0.35,0.65,0.65,0.74,0.36,0.09,0.09
3.900000000000001,0.3,0.7,0.64,0.75,0.3,0.07,0.07
3.900000000000001,0.25,0.75,0.63,0.77,0.24,0.05,0.05
4.1000000000000005,0.45,0.55,0.69,0.71,0.53,0.09,0.09
4.1000000000000005,0.4,0.6,0.67,0.72,0.43,0.09,0.09
4.1000000000000005,0.35,0.65,0.66,0.74,0.36,0.09,0.09
