,two_year_recid
5355,1
3592,0
29,1
2414,1
5619,1
1381,1
6497,1
5386,0
4712,1
812,0
850,1
5627,1
6071,1
4133,0
1312,0
5300,0
5486,1
5880,0
2691,1
4326,1
124,1
906,1
1902,1
5901,0
2952,0
2941,0
5155,0
5668,0
3815,0
961,0
5857,1
5590,1
2282,1
5784,0
3092,1
4994,0
5475,1
3174,0
2901,0
4206,0
7184,1
6597,0
1621,1
2474,1
2764,0
242,0
5617,0
341,0
2277,1
6318,1
1162,1
5445,1
4177,0
4175,1
1015,1
587,0
725,0
1887,1
1268,0
3455,0
3086,1
222,0
4260,0
832,1
2433,0
1532,0
1439,1
927,1
4745,0
2670,0
6315,1
5618,1
1203,0
2482,0
4593,0
6855,0
5629,0
6772,1
3731,1
3680,1
6715,0
2845,1
4254,1
5873,1
4081,0
6170,0
830,1
3373,0
3065,0
3390,0
5749,0
1088,0
4610,1
724,1
5024,1
7059,1
5509,1
4886,1
6531,1
4962,1
2315,1
1688,1
6306,0
4073,1
4339,0
4863,1
1806,0
208,0
2135,1
964,0
1182,0
6122,0
4195,0
5050,1
1165,0
4885,0
6191,1
6553,1
6376,1
3587,0
646,1
4721,0
1483,1
2761,1
2535,1
3479,0
1796,0
182,1
3940,0
6180,0
1773,0
7002,1
3267,1
1185,0
5221,1
2787,1
2348,0
4075,1
6109,0
3888,0
3476,1
4123,1
411,0
3895,0
530,1
174,1
1752,0
5778,0
6340,0
7086,1
5594,0
6509,0
4290,1
3553,0
1771,1
501,0
1901,1
1732,0
4618,1
6200,0
3536,1
3687,0
6505,1
2566,0
2174,0
4594,1
6708,0
1576,0
6759,1
4642,0
3506,0
3269,1
4346,1
2410,1
2499,0
2355,1
1738,0
2457,1
4951,0
4510,0
6136,1
350,0
4763,0
6729,1
1825,1
1395,1
6226,0
2830,0
4304,1
68,0
3921,0
59,0
6110,1
6998,1
4791,1
5634,1
575,1
1499,0
5122,1
6330,0
1397,1
4369,0
1853,1
3869,0
5319,1
6216,0
6018,1
3467,1
1883,0
3497,0
4891,0
4793,1
3470,0
1518,1
526,1
2167,1
1003,1
601,0
424,0
5149,0
4223,1
1108,1
2089,1
2333,1
62,1
2025,1
5484,0
2027,0
5843,0
4401,1
2990,0
4044,0
2737,0
3979,1
888,1
2386,1
584,0
2129,1
3785,1
3246,0
4773,1
7130,0
1161,1
5165,0
1508,1
4881,1
5170,1
6294,0
7081,0
3978,1
2884,0
27,1
6631,1
1778,0
4543,1
1626,0
89,1
5847,0
1415,1
2798,0
2624,0
2305,1
4949,0
1671,0
4875,0
376,0
6572,0
3734,1
1191,0
5304,0
6495,1
7029,0
2710,0
4235,0
3349,1
1403,1
3380,0
4626,1
361,1
5407,0
2401,1
304,0
1921,1
3788,1
1754,1
1411,0
1859,1
3780,1
7134,0
5955,0
1118,0
316,1
3829,1
2136,0
172,0
873,0
6092,1
2620,0
2100,0
2469,1
772,1
7105,1
2318,0
2362,1
1158,0
6261,0
2450,0
6023,0
457,1
1444,1
4521,1
532,0
2391,0
4967,1
5480,0
3523,0
1697,0
2921,1
348,0
6267,1
1507,1
3841,1
2862,0
613,1
5638,0
1152,0
2607,1
5044,0
5984,1
2976,0
7181,0
931,0
6363,1
6445,0
5313,1
4119,1
5562,0
6668,0
472,0
2595,0
912,1
1512,0
6124,0
1138,0
2626,1
5491,1
1552,0
3,0
2656,0
6123,1
1143,1
6320,0
5855,1
2965,0
1969,1
4990,0
4045,1
3295,1
5045,0
46,1
4038,0
2820,1
1985,1
619,1
3162,0
4370,1
6594,1
1277,0
5363,1
5685,1
6394,1
7070,0
4726,0
5092,1
5902,1
4753,1
5951,1
5152,1
342,0
2601,1
4713,1
129,0
5017,1
1343,0
2809,1
678,0
6884,0
2955,1
5715,1
3211,0
6064,0
1214,0
5435,0
2334,1
5248,0
618,0
1774,1
6666,0
5704,0
484,1
4135,0
257,1
1087,1
5874,0
4930,1
1558,0
372,1
1236,1
268,0
4811,0
5000,0
2274,1
6749,0
3705,1
4470,1
2316,0
5598,1
1753,1
2725,0
4850,1
4812,0
4014,0
1401,0
2281,0
1915,1
5405,1
4261,1
989,0
6311,0
6857,0
39,0
2019,0
5367,0
3458,1
1489,1
2925,0
553,0
3704,1
4314,1
831,1
6723,0
702,0
1263,0
2283,1
3695,1
3449,0
4204,0
2395,1
5694,0
535,1
3056,0
3208,1
2563,0
3803,1
231,0
3935,1
629,1
681,1
5841,1
7160,1
3137,1
6737,1
2097,1
2723,0
5733,0
273,0
690,1
6827,0
4171,1
3404,1
1241,0
7009,1
1936,0
3945,1
2730,1
6971,1
6418,0
6084,0
6696,0
2388,0
1056,0
7021,0
4400,1
3085,0
4500,0
4233,0
5567,0
6167,1
1525,0
477,0
5404,0
4671,0
6471,0
6244,1
5474,1
809,0
1467,0
1541,0
5826,1
3491,0
3547,1
6869,1
6458,0
3272,1
3538,1
4115,0
3609,0
4698,0
181,1
4961,1
5846,0
1144,0
3252,1
1600,0
6804,0
5573,0
4225,0
3350,1
5290,1
1747,0
6095,0
671,1
1424,1
1755,0
6876,0
3377,0
5514,1
171,0
563,0
1574,1
3344,1
4295,0
4273,1
706,0
4714,0
6606,1
6116,0
1455,1
384,0
6622,0
6790,1
5129,0
4943,0
1276,1
5905,0
4193,0
4840,1
2235,1
6885,0
309,1
2561,1
2065,1
4408,1
6559,1
1638,1
2295,0
3189,1
109,1
5201,0
6210,0
726,1
4277,1
2909,1
5249,0
4708,0
6809,1
2160,0
4991,0
2432,0
3887,0
5828,0
2387,1
2242,0
5215,0
4076,0
5233,1
3188,0
665,0
3113,0
4230,1
4820,1
6444,1
3951,0
4180,0
4402,1
3850,0
1975,0
4386,0
6520,1
599,0
6826,0
577,0
1801,1
3885,0
1559,1
4767,1
5589,1
3996,1
1910,0
4282,0
6947,1
663,0
3351,1
3306,0
909,0
3148,0
4695,0
2870,0
6562,0
4946,1
1028,0
5518,1
3331,1
6199,0
5472,0
746,0
3339,1
70,1
6407,1
518,1
7095,0
2978,1
4592,1
2276,0
2343,1
5898,0
4660,1
3154,0
491,0
4399,0
3441,1
5833,1
4143,1
3712,0
2037,1
7048,1
489,1
5525,1
541,1
1545,1
4167,1
714,0
612,1
6356,1
5748,1
326,1
5471,1
6647,0
2195,1
5687,1
4950,0
789,0
1000,1
2766,0
4917,0
2147,1
6333,1
1805,1
2489,0
6466,0
464,1
2325,1
6645,0
1595,0
4006,0
6388,0
4759,1
2113,1
1402,0
1645,1
5913,1
5457,0
1437,1
658,0
2286,0
4968,1
860,0
7126,0
778,1
4222,1
1142,0
2960,0
3462,1
6853,0
2145,0
5390,0
180,0
3109,0
5211,0
5176,1
5924,1
2865,1
1707,0
1612,1
5592,1
390,1
170,0
7097,0
6953,1
6659,0
5436,0
5633,0
4292,1
1586,0
1248,0
6946,1
6027,0
1253,1
3430,0
2749,1
4046,0
2481,1
5718,0
6912,0
2812,1
3313,1
3599,0
3475,1
6183,1
4559,0
5699,0
1848,1
1524,1
1799,1
4186,1
1935,0
2068,1
6050,0
3758,0
6263,0
990,1
6237,0
3259,1
1609,1
5802,0
5483,0
2096,0
5652,0
3724,0
4955,1
917,0
3335,0
1204,0
7034,1
2964,0
1757,0
292,1
813,1
467,0
4291,0
6596,0
3706,1
6144,1
2176,1
5406,0
3927,0
2599,0
6260,0
5065,0
4829,0
413,0
5229,0
192,1
3301,1
4621,0
3664,1
2977,0
561,1
1724,0
4221,1
5577,0
3689,1
1608,0
5320,0
768,0
5981,1
2150,1
4047,0
5822,1
4017,0
6120,0
5899,0
4395,0
5369,0
3227,1
4306,0
4324,1
1613,0
2446,0
6605,0
5452,0
743,0
2227,0
6004,0
1289,0
3493,0
5138,1
1446,0
6692,0
1394,0
4821,1
4492,1
1838,1
1891,0
4452,1
2908,1
2638,0
1305,1
3440,1
3549,1
3686,0
1633,1
2567,1
4807,0
499,0
5939,1
5640,1
2840,1
5690,0
6667,0
2531,0
1133,0
4228,1
1566,1
3805,0
264,0
862,1
7023,0
400,0
6903,0
3983,1
7047,1
4456,1
633,0
6565,1
1878,1
310,0
3291,1
4857,0
5078,0
2361,1
5312,0
3104,1
3782,0
2077,1
4727,1
3708,0
6739,0
2632,0
5451,0
4490,1
3882,0
277,0
1209,1
926,1
1085,1
5576,0
4739,0
5059,0
6224,0
5336,0
4630,1
6268,1
5310,1
6567,0
3531,1
2291,1
4464,1
497,1
5607,1
2647,0
3896,1
2616,0
1027,0
4846,1
4062,1
2587,1
2839,0
3698,1
6803,0
2072,1
5011,0
5564,0
6589,0
3103,0
1672,0
