,two_year_recid
5375,1
3605,0
29,1
2420,1
5641,1
1386,1
6523,1
5406,0
4731,1
815,0
854,1
5649,1
6097,1
4147,0
1317,0
5320,0
5507,1
5904,0
2697,1
4342,1
124,1
910,1
1908,1
5926,0
2960,0
2949,0
5175,0
5690,0
3829,0
966,0
5881,1
5612,1
2288,1
5808,0
3102,1
5013,0
5496,1
3184,0
2909,0
4221,0
7213,1
6623,0
1627,1
2480,1
2772,0
244,0
5639,0
343,0
2283,1
6344,1
1167,1
5466,1
4191,0
4189,1
1020,1
590,0
728,0
1893,1
1273,0
3468,0
3096,1
224,0
4275,0
835,1
2439,0
1538,0
1444,1
931,1
4764,0
2676,0
6341,1
5640,1
1208,0
2488,0
4611,0
6881,0
5651,0
6798,1
3745,1
3694,1
6741,0
2853,1
4269,1
5897,1
4095,0
6196,0
833,1
3385,0
3075,0
3403,0
5773,0
1093,0
4628,1
727,1
5043,1
7088,1
5530,1
4905,1
6557,1
4981,1
2321,1
1694,1
6332,0
4087,1
4355,0
4882,1
1812,0
210,0
2141,1
969,0
1187,0
6148,0
4210,0
5069,1
1170,0
4904,0
6217,1
6579,1
6402,1
3600,0
649,1
4740,0
1489,1
2769,1
2541,1
3492,0
1802,0
183,1
3954,0
6206,0
1779,0
7030,1
3278,1
1190,0
5241,1
2795,1
2354,0
4089,1
6135,0
3902,0
3489,1
4137,1
414,0
3909,0
533,1
175,1
1758,0
5802,0
6366,0
7115,1
5616,0
6535,0
4306,1
3566,0
1777,1
504,0
1907,1
1738,0
4636,1
6226,0
3549,1
3701,0
6531,1
2572,0
2180,0
4612,1
6734,0
1582,0
6785,1
4660,0
3519,0
3280,1
4362,1
2416,1
2505,0
2361,1
1744,0
2463,1
4970,0
4528,0
6162,1
352,0
4782,0
6755,1
1831,1
1400,1
6252,0
2838,0
4320,1
68,0
3935,0
59,0
6136,1
7026,1
4810,1
5656,1
578,1
1505,0
5142,1
6356,0
1402,1
4385,0
1859,1
3883,0
5339,1
6242,0
6044,1
3480,1
1889,0
3510,0
4910,0
4812,1
3483,0
1524,1
529,1
2173,1
1008,1
604,0
427,0
5169,0
4238,1
1113,1
2095,1
2339,1
62,1
2031,1
5505,0
2033,0
5867,0
4417,1
3000,0
4058,0
2744,0
3993,1
892,1
2392,1
587,0
2135,1
3799,1
3257,0
4792,1
7159,0
1166,1
5185,0
1514,1
4900,1
5190,1
6320,0
7110,0
3992,1
2892,0
27,1
6657,1
1784,0
4561,1
1632,0
89,1
5871,0
1420,1
2806,0
2630,0
2311,1
4968,0
1677,0
4894,0
379,0
6598,0
3748,1
1196,0
5324,0
6521,1
7058,0
2716,0
4250,0
3361,1
1408,1
3392,0
4644,1
364,1
5427,0
2407,1
306,0
1927,1
3802,1
1760,1
1416,0
1865,1
3794,1
7163,0
5980,0
1123,0
318,1
3843,1
2142,0
173,0
877,0
6118,1
2626,0
2106,0
2475,1
775,1
7134,1
2324,0
2368,1
1163,0
6287,0
2456,0
6049,0
460,1
1449,1
4539,1
535,0
2397,0
4986,1
5501,0
3536,0
1703,0
2929,1
350,0
6293,1
1513,1
3855,1
2870,0
616,1
5660,0
1157,0
2613,1
5063,0
6009,1
2986,0
7210,0
935,0
6389,1
6471,0
5333,1
4133,1
5584,0
6694,0
475,0
2601,0
916,1
1518,0
6150,0
1143,0
2632,1
5512,1
1558,0
3,0
2662,0
6149,1
1148,1
6346,0
5879,1
2974,0
1975,1
5009,0
4059,1
3306,1
5064,0
46,1
4052,0
2828,1
1991,1
622,1
3172,0
4386,1
6620,1
1282,0
5383,1
5708,1
6420,1
7099,0
4745,0
5111,1
5927,1
4772,1
5976,1
5172,1
344,0
2607,1
4732,1
129,0
5036,1
1348,0
2817,1
681,0
6910,0
2963,1
5739,1
3222,0
6090,0
1219,0
5456,0
2340,1
5268,0
621,0
1780,1
6692,0
5728,0
487,1
4149,0
259,1
1092,1
5898,0
4949,1
1564,0
375,1
1241,1
270,0
4830,0
5019,0
2280,1
6775,0
3719,1
4488,1
2322,0
5620,1
1759,1
2732,0
4869,1
4831,0
4028,0
1406,0
2287,0
1921,1
5425,1
4276,1
994,0
6337,0
6883,0
39,0
2025,0
5387,0
3471,1
1495,1
2933,0
556,0
3718,1
4330,1
834,1
6749,0
705,0
1268,0
2289,1
3709,1
3462,0
4219,0
2401,1
5718,0
538,1
3066,0
3219,1
2569,0
3817,1
233,0
3949,1
632,1
684,1
5865,1
7189,1
3147,1
6763,1
2103,1
2730,0
5757,0
275,0
693,1
6853,0
4185,1
3417,1
1246,0
7037,1
1942,0
3959,1
2737,1
6999,1
6444,0
6110,0
6722,0
2394,0
1061,0
7050,0
4416,1
3095,0
4518,0
4248,0
5589,0
6193,1
1531,0
480,0
5424,0
4690,0
6497,0
6270,1
5495,1
812,0
1473,0
1547,0
5850,1
3504,0
3560,1
6895,1
6484,0
3283,1
3551,1
4129,0
3622,0
4717,0
182,1
4980,1
5870,0
1149,0
3263,1
1606,0
6830,0
5595,0
4240,0
3362,1
5310,1
1753,0
6121,0
674,1
1429,1
1761,0
6902,0
3389,0
5536,1
172,0
566,0
1580,1
3356,1
4311,0
4289,1
709,0
4733,0
6632,1
6142,0
1460,1
387,0
6648,0
6816,1
5149,0
4962,0
1281,1
5930,0
4208,0
4859,1
2241,1
6911,0
311,1
2567,1
2071,1
4424,1
6585,1
1644,1
2301,0
3199,1
109,1
5221,0
6236,0
729,1
4293,1
2917,1
5269,0
4727,0
6835,1
2166,0
5010,0
2438,0
3901,0
5852,0
2393,1
2248,0
5235,0
4090,0
5253,1
3198,0
668,0
3123,0
4245,1
4839,1
6470,1
3965,0
4194,0
4418,1
3864,0
1981,0
4402,0
6546,1
602,0
6852,0
580,0
1807,1
3899,0
1565,1
4786,1
5611,1
4010,1
1916,0
4298,0
6974,1
666,0
3363,1
3317,0
913,0
3158,0
4714,0
2878,0
6588,0
4965,1
1033,0
5540,1
3343,1
6225,0
5493,0
749,0
3351,1
70,1
6433,1
521,1
7124,0
2988,1
4610,1
2282,0
2349,1
5923,0
4679,1
3164,0
494,0
4415,0
3454,1
5857,1
4157,1
3726,0
2043,1
7077,1
492,1
5547,1
544,1
1551,1
4181,1
717,0
615,1
6382,1
5772,1
328,1
5492,1
6673,0
2201,1
5710,1
4969,0
792,0
1005,1
2774,0
4936,0
2153,1
6359,1
1811,1
2495,0
6492,0
467,1
2331,1
6671,0
1601,0
4020,0
6414,0
4778,1
2119,1
1407,0
1651,1
5938,1
5478,0
1442,1
661,0
2292,0
4987,1
864,0
7155,0
781,1
4237,1
1147,0
2969,0
3475,1
6879,0
2151,0
5410,0
181,0
3119,0
5231,0
5196,1
5949,1
2873,1
1713,0
1618,1
5614,1
393,1
171,0
7126,0
6981,1
6685,0
5457,0
5655,0
4308,1
1592,0
1253,0
6973,1
6053,0
1258,1
3443,0
2756,1
4060,0
2487,1
5742,0
6938,0
2820,1
3325,1
3612,0
3488,1
6209,1
4577,0
5723,0
1854,1
1530,1
1805,1
4200,1
1941,0
2074,1
6076,0
3772,0
6289,0
995,1
6263,0
3270,1
1615,1
5826,0
5504,0
2102,0
5674,0
3738,0
4974,1
921,0
3347,0
1209,0
7063,1
2973,0
1763,0
294,1
816,1
470,0
4307,0
6622,0
3720,1
6170,1
2182,1
5426,0
3941,0
2605,0
6286,0
5084,0
4848,0
416,0
5249,0
194,1
3312,1
4639,0
3677,1
2987,0
564,1
1730,0
4236,1
5599,0
3703,1
1614,0
5340,0
771,0
6006,1
2156,1
4061,0
5846,1
4031,0
6146,0
5924,0
4411,0
5389,0
3238,1
4322,0
4340,1
1619,0
2452,0
6631,0
5473,0
746,0
2233,0
6029,0
1294,0
3506,0
5158,1
1451,0
6718,0
1399,0
4840,1
4510,1
1844,1
1897,0
4469,1
2916,1
2644,0
1310,1
3453,1
3562,1
3700,0
1639,1
2573,1
4826,0
502,0
5964,1
5662,1
2848,1
5714,0
6693,0
2537,0
1138,0
4243,1
1572,1
3819,0
266,0
866,1
7052,0
403,0
6929,0
3997,1
7076,1
4473,1
636,0
6591,1
1884,1
312,0
3302,1
4876,0
5097,0
2367,1
5332,0
3114,1
3796,0
2083,1
4746,1
3722,0
6765,0
2638,0
5472,0
4508,1
3896,0
279,0
1214,1
930,1
1090,1
5598,0
4758,0
5078,0
6250,0
5356,0
4648,1
6294,1
5330,1
6593,0
3544,1
2297,1
4482,1
500,1
5629,1
2653,0
3910,1
2622,0
1032,0
4865,1
4076,1
2593,1
2847,0
3712,1
6829,0
2078,1
5030,0
5586,0
6615,0
3113,0
1678,0
4170,1
2395,0
2154,0
4363,0
0,0
4870,0
2891,1
3260,0
5825,1
3093,0
575,0
5572,1
465,0
2522,0
4091,0
5893,0
3891,1
1882,0
1164,0
7091,1
6638,1
292,1
1984,1
6680,0
3100,0
2788,1
644,1
3281,0
804,0
3545,0
5315,0
1705,1
6504,0
6301,0
2923,1
4453,0
3658,1
6818,0
767,0
3019,1
5275,1
2489,0
3218,0
6556,0
857,0
4283,0
4056,1
4014,0
3960,0
5403,1
4202,0
6008,0
6540,0
6714,1
860,1
2323,0
2364,0
2249,1
4957,0
2204,1
5508,1
660,1
1957,0
5468,1
3024,0
2209,1
3266,1
4177,0
5151,0
6199,1
1111,1
573,0
2679,0
1034,1
4301,0
5071,1
3957,0
448,0
6439,1
365,1
2494,0
5518,1
6950,1
2360,1
1793,0
5,0
3041,0
1626,1
1663,1
735,0
3591,1
5051,0
5470,1
4860,1
5348,0
3037,1
4947,1
5940,1
3309,1
6397,1
6371,0
4963,0
3656,0
5336,1
4403,0
5925,0
557,1
6094,1
145,1
6822,1
1267,0
3181,1
4357,1
4038,0
4290,0
983,0
4761,1
6628,0
4438,0
1726,1
420,1
2110,1
4391,0
5237,1
3447,1
6643,1
5527,1
5187,1
6872,0
4922,0
4008,0
6093,0
3056,1
3964,0
2424,0
1145,0
5263,1
2130,0
5628,0
2136,1
2263,1
3825,0
6144,0
4084,0
4954,1
6376,1
2610,1
6925,0
273,0
5526,0
5163,0
1382,0
4144,0
422,0
1350,0
2780,1
428,1
288,1
6884,1
5958,1
3359,0
2937,1
2465,1
3921,0
2051,1
2735,1
4547,0
6865,1
5454,0
4480,1
3200,0
7029,0
5137,1
5594,0
4513,0
4982,0
2980,0
5562,1
6081,0
3333,0
3122,0
2199,0
2645,0
6918,0
3167,0
6888,1
1735,1
4371,0
811,0
3033,1
6164,1
1082,1
